date,market,type,source,campaign,status,outcome
2026-06-12,Hillsdale,tenant,instagram,openings,new,Inquiry about 17 Lo Presto unit via /links openings button
2026-06-13,Hillsdale,seller,local,owners,contacted,Estate attorney referral; owner considering direct sale of duplex
2026-06-14,Hillsdale,awareness,instagram,awareness,new,DM from Hillsdale College parent re: student housing reputation
2026-06-12,Cleveland,tenant,instagram,tenants,qualified,Reached via rentals+cleveland@ alias; pre-screened income OK
2026-06-15,Cleveland,seller,local,owners,contacted,Wholesaler flagged a pre-foreclosure exit; no agent involved
2026-06-16,Cleveland,awareness,youtube,awareness,new,Comment on Rehab Breakdown video asking about the neighborhood
2026-06-13,South Bend,tenant,instagram,openings,toured,Notre Dame grad student toured 2BR; application pending
2026-06-17,South Bend,seller,substack,owners,new,Substack reader replied asking how direct-sale process works
2026-06-18,South Bend,awareness,instagram,awareness,new,Healthcare-worker follower shared an Openings Spotlight reel
2026-06-19,Cleveland,tenant,instagram,openings,lost,Inquiry went cold after rent disclosed; logged for attribution
2026-06-20,Hillsdale,seller,instagram,owners,qualified,Owner of 3 SFRs wants a portfolio conversation; credible
