week,day,format,market,working_title,asset_needed,caption_hook,cta_link,utm_content
1,Mon,Numbers Without Hype,Hillsdale,Lo Presto real math,"1 finished-room photo + purchase/rehab/rent","Bought it. Here's the real math.",Openings in bio /links,numbers_hillsdale_2026_06
1,Wed,Market Walk,Cleveland,Why this block,Street View screen-record of the block,Why I buy on this block and not the next,Selling here? talk direct /contact?utm_campaign=owners,walk_cleveland_2026_06
1,Fri,Carousel — Before/During/After,Hillsdale,Second Chance house arc,"before + during + after stills","Same room, 90 days apart",How I operate /links,bda_hillsdale_2026_06
2,Mon,Operator Notes,—,Out-of-state mistake,none (text-only),The mistake everyone makes buying out-of-state,More on the Substack /links,note_outofstate_2026_06
2,Wed,Openings Spotlight,South Bend,2BR near Notre Dame,unit listing photos,Open now near Notre Dame — deal with the operator,Tenant info in bio /links,spotlight_southbend_2026_06
2,Fri,Numbers Without Hype,Cleveland,BRRRR refi numbers,"1 exterior photo + the BRRRR figures",The refinance numbers nobody shows you,Openings in bio /links,numbers_cleveland_2026_06
3,Mon,Before/During/After reel,Cleveland,Gut to rented,"3 rehab stills, same angle",From gut job to rented in {n} days,How I operate /links,bda_cleveland_2026_07
3,Wed,Market Walk,Hillsdale,College town thesis,Street View + map graphic,The college-town rental thesis in 40 seconds,Selling here? talk direct /contact?utm_campaign=owners,walk_hillsdale_2026_07
3,Fri,Carousel — Operator Notes,—,How I screen tenants,none (text/Canva),How I screen tenants from 2000 miles away,More on the Substack /links,note_screening_2026_07
4,Mon,Openings Spotlight,Hillsdale,Student housing opening,unit photos,Student housing opening — managed in-house,Tenant info in bio /links,spotlight_hillsdale_2026_07
4,Wed,Numbers Without Hype,South Bend,Healthcare-worker rental,"1 photo + rent figures",What a healthcare-adjacent rental actually pencils to,Openings in bio /links,numbers_southbend_2026_07
4,Fri,Before/During/After,—,Month-one recap,best stills from the month,One month of the operation in 30 seconds,How I operate /links,bda_recap_2026_07
