property,address,city_state,source_photo,edit_status,edit_type,edit_project,date,notes
River Street,River Street,"Hillsdale, MI",01_river_street_hillsdale.jpg,USED,before-after / longform,shavit-longform-film,2026-07-06,"REAL edit — the one we are actually using. Before→after dissolve (verified MI pair)."
34 Mead Street,34 Mead Street,"Hillsdale, MI",02_34_mead_street_hillsdale.jpg,AVAILABLE,,,,Not yet used in a real edit.
2217 Parkview,2217 Parkview,"South Bend, IN",03_2217_parkview_south_bend.jpg,AVAILABLE,,,,Not yet used in a real edit.
Cleveland Heights,Cleveland Heights,"Cleveland, OH",04_cleveland_heights.jpg,AVAILABLE,,,,Not yet used in a real edit.
West Side,West Side,"Cleveland, OH",05_west_side_cleveland.jpg,AVAILABLE,,,,Not yet used in a real edit.
61 Salem Street,61 Salem Street,"Hillsdale, MI",06_61_salem_street_hillsdale.jpg,AVAILABLE,,,,Not yet used in a real edit.
Larchmere Duplex,Larchmere Duplex,"Cleveland, OH",07_larchmere_duplex_cleveland.jpg,AVAILABLE,,,,Not yet used in a real edit.
East Saint Joe,East Saint Joe,"Hillsdale, MI",08_east_saint_joe_hillsdale.jpg,AVAILABLE,,,,Not yet used in a real edit.
Budlong Street,Budlong Street,"Hillsdale, MI",09_budlong_street_hillsdale.jpg,AVAILABLE,,,,Not yet used in a real edit.
Second Chance Ranch,Second Chance Ranch,"Hillsdale, MI",10_second_chance_ranch_hillsdale.jpg,AVAILABLE,,,,Not yet used in a real edit.
